date,PM25
8/28/09,27.58333333
8/29/09,64.5
8/30/09,100.9583333
8/31/09,102.8333333
9/1/09,105
9/2/09,184.0416667
9/3/09,124.9583333
9/4/09,170.25
9/5/09,121.3333333
9/6/09,-21.5
9/7/09,-15.33333333
9/8/09,19.20833333
9/9/09,72.5
9/10/09,44.20833333
9/11/09,40.33333333
9/12/09,14.625
9/13/09,21.75
9/14/09,125.125
9/15/09,54.04166667
9/16/09,169.7083333
9/17/09,130.5
9/18/09,119.5833333
9/19/09,107.2916667
9/20/09,95.66666667
9/21/09,45.70833333
9/22/09,86.83333333
9/23/09,115.5416667
9/24/09,155.6666667
9/25/09,239.9583333
9/26/09,80.33333333
9/27/09,106.75
9/28/09,92
9/29/09,179.625
9/30/09,197.0416667
10/1/09,52.83333333
10/2/09,15.79166667
10/3/09,19.08333333
10/4/09,28.875
10/5/09,104.5416667
10/6/09,65.20833333
10/7/09,62.41666667
10/8/09,85.04166667
10/9/09,104.3333333
10/10/09,90.125
10/11/09,152
10/12/09,124.625
10/13/09,18.33333333
10/14/09,38.04166667
10/15/09,104.0416667
10/16/09,100.4166667
10/17/09,57.45833333
10/18/09,117
10/19/09,30.45833333
10/20/09,91.375
10/21/09,85.83333333
10/22/09,91
10/23/09,217.375
10/24/09,205.375
10/25/09,-541.9583333
10/26/09,-213.2916667
10/27/09,93.83333333
10/28/09,185.75
10/29/09,-152.875
10/30/09,78.29166667
10/31/09,2.083333333
11/1/09,24.375
11/2/09,21.125
11/3/09,124.8333333
11/4/09,117.7083333
11/5/09,268.1666667
11/6/09,423.6666667
11/7/09,482.25
11/8/09,254.7916667
11/9/09,-1.583333333
11/10/09,36.66666667
11/11/09,38.625
11/12/09,62.45833333
11/13/09,97.83333333
11/14/09,16.20833333
11/15/09,-154.125
11/16/09,-999
11/17/09,-999
11/18/09,-616.6666667
11/19/09,45.91666667
11/20/09,44.83333333
11/21/09,119.875
11/22/09,225.75
11/23/09,322.8333333
11/24/09,222.2083333
11/25/09,141.7916667
11/26/09,194.875
11/27/09,172.0833333
11/28/09,203.875
11/29/09,274.2083333
11/30/09,121.5
12/1/09,114.4166667
12/2/09,122.75
12/3/09,85.125
12/4/09,90.20833333
12/5/09,73.875
12/6/09,172
12/7/09,291.5833333
12/8/09,208.25
12/9/09,222.5833333
12/10/09,282.2083333
12/11/09,84.5
12/12/09,55.83333333
12/13/09,119.9166667
12/14/09,55.79166667
12/15/09,34.54166667
12/16/09,30.58333333
12/17/09,17.79166667
12/18/09,15.5
12/19/09,15.66666667
12/20/09,-745.4583333
12/21/09,-487.5
12/22/09,112.4583333
12/23/09,150.5
12/24/09,-276.5416667
12/25/09,-999
12/26/09,-999
12/27/09,-999
12/28/09,-338.75
12/29/09,108.4166667
12/30/09,22.29166667
12/31/09,13.83333333
1/1/10,-952
1/2/10,144.3333333
1/3/10,78.375
1/4/10,29.29166667
1/5/10,43.54166667
1/6/10,59.375
